Table 1,,,,,,,,,,,
"Value of support by type of support, program stream and year 1, 2 (All federal departments and agencies)",,,,,,,,,,,
,,,,,,,,,,,
Type of support and program stream,Year of funding/support/award,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,"2007-2016
(Total value of support by type of support and program stream)"
INVESTING IN BUSINESS GROWTH AND PRODUCTIVITY,...,...,...,...,...,...,...,X,X,X,X
INVESTING IN BUSINESS INNOVATION,...,...,...,...,...,...,...,"4,673,501","8,826,205","9,364,056","22,863,762"
INVESTING IN COMMERCIALIZATION PARTNERSHIPS,...,...,...,...,...,...,...,X,X,"30,608,017","55,386,458"
INVESTMENTS IN FOREST INDUSTRY TRANSFORMATION PROGRAM,...,...,...,X,"17,748,255","21,160,653",X,X,"20,727,335","26,640,000","124,506,206"
IRAP - CONTRIBUTION TO FIRMS,"68,353,709","69,391,083","161,452,860","151,239,285","72,341,832","146,077,288","167,307,296","157,383,966","166,417,767","213,075,676","1,373,040,761"
IRAP - CONTRIBUTION TO FIRMS (CAF),...,...,"15,952,097","26,193,134",...,...,...,...,...,...,"42,145,231"
IRAP - CONTRIBUTION TO FIRMS (DTAPP),...,...,...,...,"2,277,041","24,192,686","34,699,442",...,...,...,"61,169,169"
IRAP - CONTRIBUTION TO FIRMS (SODP),...,...,"26,812,046","16,037,786","394,723",...,...,...,...,...,"43,244,555"
IRAP - CONTRIBUTION TO ORGANIZATIONS,"12,066,588","11,030,469","10,787,546","9,309,467","8,919,104","19,666,017","16,091,757","12,662,450","12,979,541","14,370,643","127,883,581"
IRAP - YOUTH EMPLOYMENT PROGRAM,"4,851,714","4,824,675","14,883,002","28,038,754","5,558,018","5,106,313","6,282,313","18,135,609","23,723,694","5,048,943","116,453,035"
IRAP - YOUTH EMPLOYMENT PROGRAM GREEN,...,...,...,...,...,...,...,...,...,"9,907,909","9,907,909"
NETWORK STRUCTURING,...,...,...,...,...,X,X,"525,056","1,454,527","2,244,451","4,843,971"
NEW BUSINESS DEVELOPMENT AND STARTUPS,...,...,...,...,...,...,X,X,X,"864,530","2,104,525"
NODP - BUSINESS GROWTH AND COMPETITIVENESS PRIORITY,...,...,...,...,"1,923,309","4,956,537","7,812,136","8,782,498","8,149,579","7,314,114","38,938,173"
NODP - INNOVATION,...,...,...,...,"1,567,416","2,635,027","5,832,095","5,148,628","3,942,569","6,742,897","25,868,633"
PRODUCTIVITY AND EXPANSION,...,...,...,...,...,X,X,X,"1,678,221",X,"4,593,189"
"RESEARCH, DEVELOPMENT AND KNOWLEDGE TRANSFER",...,...,"1,536,796","16,486,041","20,852,584","20,389,192","13,924,732","30,699,665","37,964,955","36,868,842","178,722,808"
SCIENCE HORIZONS YOUTH INTERNSHIP PROGRAM,"985,930","1,068,100","980,736","1,241,964","956,000","839,780","969,993","1,046,744","2,630,993","7,708,479","18,428,720"
SMART ADVANCED TECHNOLOGIES FOR GLOBAL GROWTH,...,...,...,...,...,...,"771,031","6,716,580","4,219,598","334,205","12,041,414"
SMARTSTART SEED FUND,...,...,...,...,...,...,"711,299","875,391","1,805,069","305,598","3,697,357"
SPACE TECHNOLOGY DEVELOPMENT PROGRAM,...,...,...,...,...,X,X,"1,491,805","7,212,592","9,573,263","18,957,164"
STRATEGIC INVESTMENTS IN NORTHERN ECONOMIC DEVELOPMENT,...,...,"9,148,181","17,682,640","20,274,294","20,074,411","19,700,715","17,861,757","19,655,323","19,204,229","143,601,550"
TECHNOLOGY DEMONSTRATION PROGRAM,...,...,...,...,...,...,...,...,X,X,X
